Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Luis Abram,pe PER,DF,Granada,25,1996,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1,Matches
Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1,Matches
Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,Matches
Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,Matches
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3,Matches
Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0,Matches
Ilias Akhomach,ma MAR,FW,Barcelona,17,2004,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0,Matches
David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1,Matches
Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0,Matches
Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1,Matches
Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1,Matches
Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,9,3,2,4,3,1,5,20.0,4,7,0,7,6,15,1,0,Matches
Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0,Matches
Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,53,34,34,17,2,34,53,64.2,19,30,18,12,35,88,153,0,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,11.8,33,15,21,10,2,15,44,34.1,29,12,0,12,8,41,17,0,Matches
Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0,Matches
Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
