Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0,Matches
Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,Matches
Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Matches
Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1,Matches
Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,Matches
Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0,Matches
Anel Ahmedhodžić,ba BIH,DF,Bordeaux,22,1999,15.0,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0,Matches
Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1,Matches
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0,Matches
Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,7,4,3,4,0,2,5,40.0,3,4,0,4,1,8,4,0,Matches
Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches
Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1,Matches
Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0,Matches
